QuestionId;Text;Type
1;Waren dir die Handlungsziele bekannt?;1
2;Wie beurteilst du den Aufbau und die Organisation des Moduls?;1
3;Wie empfandst du die Dauer des Moduls?;1
4;Wie wurden der Unterricht gestaltet?;1
5;Wurden die Inhalte verständlich vermittelt?;1
6;Wie beurteilst du die fachliche Kompetenz der Kursleitung?;1
7;Wie gut haben dich die zur Verfügung stehenden Mittel und Unterlagen unterstützt?;1
8;Wie beurteilst du die IT-Infrastruktur?;1
9;Wie beurteilst du die räumliche Infrastruktur?;1
10;Ich konnte im Modul engagiert und selbstverantwortlich arbeiten.;1
11;Ich hatte genügend Zeit, die Aufträge zu erledigen.;1
12;Hast du bei Unklarheiten oder Schwierigkeiten schnell Hilfe erhalten?;1
13;Hast du dich während dem Modul wohl gefühlt?;1
14;Wie gut kannst du das gelernte bei deiner täglichen Arbeit anwenden?;2
15;Wie gut hat das Modul deine Erwartungen erfüllt?;2
16;Wie gut wurden die Handlungsziele abgedeckt?;2
