ResponseId;AnswerId;ModuleId;Value;DateTime
1;1;2;1;23.08.2016 15:59
2;4;2;1;23.08.2016 15:59
3;7;2;1;23.08.2016 15:59
4;11;2;1;23.08.2016 15:59
5;14;2;1;23.08.2016 15:59
6;18;2;1;23.08.2016 15:59
7;23;2;1;23.08.2016 15:59
8;27;2;1;23.08.2016 15:59
9;31;2;1;23.08.2016 15:59
10;34;2;1;23.08.2016 15:59
11;38;2;1;23.08.2016 15:59
12;42;2;1;23.08.2016 15:59
13;46;2;1;23.08.2016 15:59
14;50;2;7;23.08.2016 15:59
15;51;2;7;23.08.2016 15:59
16;52;2;9;23.08.2016 15:59
17;1;2;1;23.08.2016 16:39
18;4;2;1;23.08.2016 16:39
19;9;2;1;23.08.2016 16:39
20;11;2;1;23.08.2016 16:39
21;13;2;1;23.08.2016 16:39
22;19;2;1;23.08.2016 16:39
23;22;2;1;23.08.2016 16:39
24;27;2;1;23.08.2016 16:39
25;31;2;1;23.08.2016 16:39
26;35;2;1;23.08.2016 16:39
27;38;2;1;23.08.2016 16:39
28;42;2;1;23.08.2016 16:39
29;46;2;1;23.08.2016 16:39
30;50;2;8;23.08.2016 16:39
31;51;2;9;23.08.2016 16:39
32;52;2;10;23.08.2016 16:39
33;1;2;1;23.08.2016 16:39
34;4;2;1;23.08.2016 16:39
35;7;2;1;23.08.2016 16:39
36;10;2;1;23.08.2016 16:39
37;14;2;1;23.08.2016 16:39
38;18;2;1;23.08.2016 16:39
39;23;2;1;23.08.2016 16:39
40;26;2;1;23.08.2016 16:39
41;31;2;1;23.08.2016 16:39
42;34;2;1;23.08.2016 16:39
43;38;2;1;23.08.2016 16:39
44;42;2;1;23.08.2016 16:39
45;46;2;1;23.08.2016 16:39
46;50;2;3;23.08.2016 16:39
47;51;2;9;23.08.2016 16:39
48;52;2;10;23.08.2016 16:39
49;1;2;1;23.08.2016 16:39
50;4;2;1;23.08.2016 16:39
51;7;2;1;23.08.2016 16:39
52;10;2;1;23.08.2016 16:39
53;13;2;1;23.08.2016 16:39
54;18;2;1;23.08.2016 16:39
55;22;2;1;23.08.2016 16:39
56;26;2;1;23.08.2016 16:39
57;30;2;1;23.08.2016 16:39
58;34;2;1;23.08.2016 16:39
59;38;2;1;23.08.2016 16:39
60;42;2;1;23.08.2016 16:39
61;46;2;1;23.08.2016 16:39
62;50;2;10;23.08.2016 16:39
63;51;2;10;23.08.2016 16:39
64;52;2;10;23.08.2016 16:39
65;1;2;1;23.08.2016 16:39
66;5;2;1;23.08.2016 16:39
67;9;2;1;23.08.2016 16:39
68;11;2;1;23.08.2016 16:39
69;14;2;1;23.08.2016 16:39
70;18;2;1;23.08.2016 16:39
71;23;2;1;23.08.2016 16:39
72;27;2;1;23.08.2016 16:39
73;31;2;1;23.08.2016 16:39
74;35;2;1;23.08.2016 16:39
75;38;2;1;23.08.2016 16:39
76;42;2;1;23.08.2016 16:39
77;46;2;1;23.08.2016 16:39
78;50;2;9;23.08.2016 16:39
79;51;2;9;23.08.2016 16:39
80;52;2;9;23.08.2016 16:39
81;1;2;1;23.08.2016 16:40
82;4;2;1;23.08.2016 16:40
83;7;2;1;23.08.2016 16:40
84;11;2;1;23.08.2016 16:40
85;14;2;1;23.08.2016 16:40
86;18;2;1;23.08.2016 16:40
87;23;2;1;23.08.2016 16:40
88;27;2;1;23.08.2016 16:40
89;31;2;1;23.08.2016 16:40
90;34;2;1;23.08.2016 16:40
91;38;2;1;23.08.2016 16:40
92;42;2;1;23.08.2016 16:40
93;46;2;1;23.08.2016 16:40
94;50;2;8;23.08.2016 16:40
95;51;2;10;23.08.2016 16:40
96;52;2;10;23.08.2016 16:40
97;1;2;1;23.08.2016 16:42
98;4;2;1;23.08.2016 16:42
99;7;2;1;23.08.2016 16:42
100;10;2;1;23.08.2016 16:42
101;14;2;1;23.08.2016 16:42
102;18;2;1;23.08.2016 16:42
103;24;2;1;23.08.2016 16:42
104;27;2;1;23.08.2016 16:42
105;31;2;1;23.08.2016 16:42
106;34;2;1;23.08.2016 16:42
107;39;2;1;23.08.2016 16:42
108;42;2;1;23.08.2016 16:42
109;47;2;1;23.08.2016 16:42
110;50;2;3;23.08.2016 16:42
111;51;2;9;23.08.2016 16:42
112;52;2;9;23.08.2016 16:42
113;1;2;1;23.08.2016 16:43
114;4;2;1;23.08.2016 16:43
115;7;2;1;23.08.2016 16:43
116;11;2;1;23.08.2016 16:43
117;14;2;1;23.08.2016 16:43
118;18;2;1;23.08.2016 16:43
119;22;2;1;23.08.2016 16:43
120;27;2;1;23.08.2016 16:43
121;31;2;1;23.08.2016 16:43
122;34;2;1;23.08.2016 16:43
123;39;2;1;23.08.2016 16:43
124;42;2;1;23.08.2016 16:43
125;46;2;1;23.08.2016 16:43
126;50;2;2;23.08.2016 16:43
127;51;2;10;23.08.2016 16:43
128;52;2;9;23.08.2016 16:43
129;1;2;1;23.08.2016 16:50
130;4;2;1;23.08.2016 16:50
131;7;2;1;23.08.2016 16:50
